Mots,top_review_1,top_review_2,top_review_3
"come, table, server, waitress, ask, waiter, back, take, check, sit, bring, seat, water, meal, bill",,,
"say, would, tell, call, give, could, manager, make, customer, ask, one, rude, want, know, room",,,
"bar, drink, beer, bartender, night, friend, go, great, sit, one, area, game, crowd, music, pretty",,,
"burger, fry, cheese, bun, well, onion, good, cook, medium, bacon, cold, rare, greasy, ring, beer",,,
"taste, dish, good, sauce, flavor, like, roll, sushi, price, soup, small, menu, salad, much, meat",,,
"get, take, even, right, pay, one, eat, sandwich, star, people, forever, kid, wrong, could, try",,,
"wait, minute, hour, seat, 30, 15, 20, long, min, 10, 45, arrive, line, another, staff",,,
"order, take, delivery, call, wrong, deliver, receive, half, minute, item, tell, food, drink, online, hour",,,
"service, bad, ever, customer, slow, terrible, horrible, experience, rude, poor, even, awful, location, attitude, server",,,
"pizza, crust, cheese, slice, topping, delivery, sauce, cold, pie, thin, good, call, salad, sausage, soggy",,,
"food, good, restaurant, price, quality, mediocre, cold, overprice, great, chinese, not, atmosphere, average, eat, indian",,,
"time, go, last, back, location, first, year, use, visit, every, second, always, waste, long, several",,,
"place, like, really, good, look, want, people, staff, try, seem, coffee, go, feel, love, not",,,
"taco, fish, chip, salsa, mexican, tortilla, burrito, bean, cheese, bland, corn, margarita, breakfast, eat, ever",,,
"chicken, rice, fry, wing, sauce, dry, salad, piece, taste, curry, lunch, eat, cold, meat, fried",,,
,"Horrible service... after 20 minutes at the table we had to ask the hostess where our waiter was.  Then we watched all the employees stand around and try and pass us off on each other.  Eventually the ""unluckiest"" came to our table to get us started.  He brought the four items we ordered to the table separately and brought the beer that one person ordered last.  Waiter came back to give us the check without asking if we wanted anything else.  Another beer was ordered, which seemed to be an imposition since the check was already ready.  At the end, he gave us his name and asked us to come back.  I think not....","Where do I start lol so my boyfriend and I just wanted to come in to get some good food and margaritas. We barely got that. So we got sat outside in the corner no big deal. First our table was dirty and it took about 20-30 minutes for that to get cleaned. Our server never came and after being stared at by a nearby server who finally said ""Oh! Has no one came to you guys yet"" that's when we kinda got some service. She took our drink orders..this isn't our server by the way and eventually our actual server, Margaux finally came to our table with waters. Again still dirty table. Again it took 20 minutes for her to even come to our table. 

I got the peach margarita and it was unbelievably sweet. I like sweet drinks but that was a bit much for me. So she took our food order and we didn't see her again for like 30 minutes. The food was ok nothing to get excited about. But we wanted to get another margarita and just chill but it took her so long to come back to our table, we just didn't want to be there anymore. We had been here before and got similar service soooo yeah, definitely over this place and not coming back. Sucks though because margaritas are pretty cheap.","Like Lauren B. said, this was a horrible decision based on the weather, lack of other places nearby to walk to, and hunger. The hostess forgot about us/forgot to give us a beeper so we lost our first table. The waitress didn't come for about 10 minutes because we had drinks already and thought we were being taken care of. We didn't have knives on the table, but had 2 forks each.

My fries came out cold, they forgot a person's side order, messed up another person's order, and seemed like this was their first day. Scary thing was, though, that our waitress was training someone else who came up to us after the dessert and coffee were served (and still on our table) and she started to give us another table's dinner order.

I am not going back."
